NAME,PLAYER2,RUNS,MAT,INNS,NO,HS,AVG,BF,SR,100,50,Fours,Sixes,TYPE,COSTâ‚¹_LAKH
Virat Kohli,RCB,741,15,15,3,113*,61.75,479,154.69,1,5,62,38,BAT,1500.0
Ruturaj Gaikwad,CSK,583,14,14,3,108*,53.00,413,141.16,1,4,58,18,BAT,600.0
Riyan Parag,RR,573,16,14,3,84*,52.09,384,149.21,0,4,40,33,AR,380.0
Sanju Samson,RR,531,16,15,4,86,48.27,346,153.46,0,5,48,24,BAT/WK,1400.0
Sai Sudharsan,GT,527,12,12,1,103,47.91,373,141.28,1,2,48,16,AR,20.0
K L Rahul,LSG,520,14,14,0,82,37.14,382,136.12,0,4,45,19,BAT/WK,1400.0
Abhishek Sharma,SRH,484,16,16,1,75*,32.27,237,204.21,0,3,36,42,AR,650.0
Rishabh Pant,DC,446,13,13,2,88*,40.55,287,155.4,0,3,36,25,BAT/WK,1600.0
Yashasvi Jaiswal,RR,435,16,15,1,104*,31.07,279,155.91,1,1,54,16,AR,400.0
Shubman Gill,GT,426,12,12,1,104,38.73,289,147.4,1,2,37,15,BAT,800.0
Rohit Sharma,MI,417,14,14,1,105*,32.08,278,150.0,1,1,45,23,BAT,1600.0
Tilak Varma,MI,416,13,13,3,65,41.60,278,149.64,0,3,35,19,AR,170.0
Shivam Dube,CSK,396,14,14,3,66*,36.00,244,162.29,0,3,28,28,AR,400.0
Rajat Patidar,RCB,395,15,13,0,55,30.38,223,177.13,0,5,21,33,BAT,20.0
Venkatesh Iyer,KKR,370,15,13,5,70,46.25,233,158.79,0,4,35,19,AR,800.0
Shashank Singh,PBKS,354,14,14,6,68*,44.25,215,164.65,0,2,28,21,AR,20.0
Shreyas Iyer,KKR,351,15,14,5,58*,39.00,239,146.86,0,2,34,14,BAT,1225.0
Suryakumar Yadav,MI,345,11,11,1,102*,34.50,206,167.47,1,3,36,18,BAT,800.0
Prabhsimran Singh,PBKS,334,14,14,0,71,23.86,213,156.8,0,2,34,20,BAT/WK,60.0
Abishek Porel,DC,327,14,12,2,65,32.70,205,159.51,0,2,36,13,BAT/WK,20.0
Dinesh Karthik,RCB,326,15,13,4,83,36.22,174,187.35,0,2,27,22,BAT/WK,550.0
Ishan Kishan,MI,320,14,14,0,69,22.86,215,148.83,0,1,35,16,BAT/WK,1525.0
Nitish Kumar Reddy,SRH,303,13,11,2,76*,33.67,212,142.92,0,2,15,21,BAT/WK,20.0
Ravindra Jadeja,CSK,267,14,11,5,57*,44.50,187,142.78,0,1,22,8,AR,1600.0
Ajinkya Rahane,CSK,242,13,12,0,45,20.17,196,123.46,0,0,23,7,BAT,50.0
Ayush Badoni,LSG,235,14,12,4,55*,29.38,171,137.42,0,2,22,5,AR,20.0
Axar Patel,DC,235,14,12,4,66,29.38,179,131.28,0,2,19,10,AR,1200.0
Hardik Pandya,MI,216,14,13,1,46,18.00,151,143.04,0,0,17,11,AR,1500.0
Shahbaz Ahmed,SRH,215,16,12,3,59*,23.89,166,129.51,0,1,7,13,AR,240.0
Prithvi Shaw,DC,198,8,8,0,66,24.75,121,163.63,0,1,30,5,BAT,800.0
Dhruv Jurel,RR,195,15,11,3,56*,24.38,141,138.29,0,2,18,7,BAT/WK,20.0
Ashutosh Sharma,PBKS,189,11,9,2,61,27.00,113,167.25,0,1,10,15,AR,20.0
Rahul Tewatia,GT,188,12,9,2,36*,26.86,129,145.73,0,0,24,5,AR,900.0
Jitesh Sharma,PBKS,187,14,12,1,32*,17.00,142,131.69,0,0,9,12,BAT/WK,20.0
Abdul Samad,SRH,182,16,12,2,37*,18.20,108,168.51,0,0,15,11,AR,400.0
Rinku Singh,KKR,168,15,11,2,26,18.67,113,148.67,0,0,13,8,BAT,55.0
Rahul Tripathi,SRH,165,6,6,0,55,27.50,115,143.47,0,1,18,6,BAT,850.0
Angkrish Raghuvanshi,KKR,163,10,7,0,54,23.29,105,155.23,0,1,16,8,BAT,20.0
MS Dhoni,CSK,161,14,11,8,37*,53.67,73,220.54,0,0,14,13,BAT/WK,1200.0
Shikhar Dhawan,PBKS,152,5,5,0,70,30.40,121,125.61,0,1,18,4,BAT,825.0
Deepak Hooda,LSG,145,11,9,1,50,18.13,105,138.09,0,1,16,3,AR,575.0
Naman Dhir,MI,140,7,7,1,62*,23.33,79,177.21,0,1,12,10,AR,20.0
Wriddhiman Saha,GT,136,9,9,0,39,15.11,115,118.26,0,0,18,3,BAT/WK,190.0
Krunal Pandya,LSG,133,14,12,8,43*,33.25,105,126.66,0,0,8,5,AR,825.0
Shahrukh Khan,GT,127,7,7,0,58,18.14,75,169.33,0,1,9,9,BAT/WK,740.0
Ramandeep Singh,KKR,125,15,9,5,35,31.25,62,201.61,0,0,5,12,AR,20.0
Mahipal Lomror,RCB,125,10,10,2,33,15.63,68,183.82,0,0,9,9,AR,95.0
Nehal Wadhera,MI,109,6,6,0,49,18.17,84,129.76,0,0,9,6,AR,20.0
Anuj Rawat,RCB,98,5,5,1,48,24.50,77,127.27,0,0,10,3,BAT/WK,340.0
Ravichandran Ashwin,RR,86,15,9,3,29,14.33,74,116.21,0,0,5,4,AR,975.0
Arshad Khan,LSG,83,4,4,2,58*,41.50,54,153.7,0,1,6,5,AR,20.0
Vijay Shankar,GT,83,7,7,2,17,16.60,72,115.27,0,0,7,2,AR,140.0
Harpreet Brar,PBKS,75,13,7,5,29,37.50,54,138.88,0,0,8,2,AR,380.0
Mayank Agarwal,SRH,64,4,4,0,32,16.00,57,112.28,0,0,8,1,BAT,825.0
Atharva Taide,PBKS,61,2,2,0,46,30.50,39,156.41,0,0,7,2,AR,20.0
Sameer Rizwi,CSK,51,8,5,1,21,12.75,43,118.6,0,0,4,2,BAT,840.0
Kuldeep Yadav,DC,47,11,5,2,35*,15.67,41,114.63,0,0,6,1,BOW,200.0
Manish Pandey,KKR,42,1,1,0,42,42.00,31,135.48,0,0,2,2,BAT,50.0
Nitish Rana,KKR,42,2,2,0,33,21.00,34,123.52,0,0,5,1,AR,800.0
Devdutt Padikkal,LSG,38,7,7,0,13,5.43,53,71.69,0,0,3,0,BAT,775.0
Swapnil Singh,RCB,37,7,5,3,15*,18.50,21,176.19,0,0,3,3,AR,20.0
Shubham Dubey,RR,33,4,3,1,25,16.50,19,173.68,0,0,3,2,BAT,580.0
Karn Sharma,RCB,31,9,3,0,20,10.33,15,206.66,0,0,2,3,BOW,50.0
Rasikh Salam,DC,28,8,4,0,10,7.00,30,93.33,0,0,4,0,BOW,20.0
Jaydev Unadkat,SRH,24,11,5,2,8*,8.00,26,92.3,0,0,2,1,BOW,160.0
Bhuvneshwar Kumar,SRH,23,16,5,2,13,7.67,29,79.31,0,0,3,0,BOW,420.0
Yudhvir Singh,LSG,21,2,2,0,14,10.50,14,150.0,0,0,1,2,AR,20.0
Rahul Chahar,PBKS,21,9,2,1,16,21.00,15,140.0,0,0,3,1,BOW,525.0
Shardul Thakur,CSK,21,9,3,2,17,21.00,17,123.52,0,0,2,1,AR,400.0
Saurav Chauhan,RCB,18,3,3,0,9,6.00,15,120.0,0,0,1,1,BAT,20.0
Sumit Kumar,DC,18,4,3,1,9*,9.00,24,75.0,0,0,2,1,AR,100.0
Piyush Chawla,MI,15,11,6,2,10,3.75,15,100.0,0,0,1,1,BOW,50.0
Sanvir Singh,SRH,14,4,3,2,8*,14.00,12,116.66,0,0,1,0,AR,20.0
Harshal Patel,PBKS,13,14,4,1,12,4.33,19,68.42,0,0,1,1,AR,1175.0
Mohammed Siraj,RCB,12,14,3,1,12,6.00,8,150.0,0,0,0,2,BOW,700.0
Darshan Nalkande,GT,12,3,1,0,12,12.00,11,109.09,0,0,0,1,AR,20.0
Jasprit Bumrah,MI,12,13,4,4,8*,-,12,100.0,0,0,1,0,BOW,1200.0
Umesh Yadav,GT,12,7,2,1,10*,12.00,15,80.0,0,0,0,1,BOW,580.0
Avesh Khan,RR,10,16,3,3,7*,-,5,200.0,0,0,1,0,BOW,1000.0
Lalit Yadav,DC,10,2,2,0,7,5.00,12,83.33,0,0,1,0,AR,65.0
Abhinav Manohar,GT,9,2,2,0,8,4.50,16,56.25,0,0,1,0,BAT,260.0
Anmolpreet Singh,SRH,5,2,2,0,5,2.50,6,83.33,0,0,1,0,BAT,20.0
Arshdeep Singh,PBKS,4,14,1,0,4,4.00,3,133.33,0,0,1,0,BOW,400.0
Akash Madhwal,MI,4,5,1,1,4*,-,5,80.0,0,0,0,0,BOW,20.0
Ravi Bishnoi,LSG,4,14,3,0,2,1.33,6,66.66,0,0,0,0,BOW,400.0
Mohit Sharma,GT,4,12,3,1,4,2.00,15,26.66,0,0,0,0,BOW,50.0
Anukul Roy,KKR,3,4,1,1,3*,-,3,100.0,0,0,0,0,AR,20.0
Kumar Kushagra,DC,3,4,3,0,2,1.00,7,42.85,0,0,0,0,BAT/WK,720.0
Mukesh Kumar,DC,3,10,2,1,3,3.00,9,33.33,0,0,0,0,BOW,550.0
Ricky Bhui,DC,3,2,2,0,3,1.50,9,33.33,0,0,0,0,BAT/WK,20.0
Mohsin Khan,LSG,2,9,1,0,2,2.00,1,200.0,0,0,0,0,BOW,20.0
Anshul Kamboj,MI,2,3,1,1,2*,-,2,100.0,0,0,0,0,AR,20.0
Akash Deep,RCB,2,1,1,1,2*,-,2,100.0,0,0,0,0,BOW,20.0
Shivam Singh,PBKS,2,1,1,1,2*,-,3,66.66,0,0,0,0,AR,20.0
Vaibhav Arora,KKR,1,10,2,2,1*,-,1,100.0,0,0,0,0,BOW,60.0
Shams Mulani,MI,1,2,1,1,1*,-,1,100.0,0,0,0,0,AR,20.0
Manav Suthar,GT,1,1,1,0,1,1.00,2,50.0,0,0,0,0,BOW,20.0
Vyshak Vijaykumar,RCB,1,4,2,1,1*,1.00,3,33.33,0,0,0,0,BOW,20.0
Ishant Sharma,DC,1,9,2,2,1*,-,7,14.28,0,0,0,0,BOW,50.0
